id,category,label,description,threat_level,risk_score,safety_reason,learning_weight,applicable_apps,file_types,indicators
NB-001,public_content,Publicly Published News Article,News content already publicly available with no PII,SAFE,0,No private identifiers. Content is intentionally public. No confidentiality expectation.,0.05,web_application|mobile_application|desktop_application|api_service,.html|.txt|.json|.xml,
NB-002,public_content,Open Source License File,"MIT, Apache, GPL license text files",SAFE,0,"Explicitly public, no proprietary content, no identifiers.",0.02,desktop_application|web_application|api_service,.txt|.md,
NB-003,public_content,Public API Response (Non-PII),"Weather data, stock prices, exchange rates — no user data",SAFE,1,"Aggregated, anonymized, and publicly available data.",0.04,web_application|mobile_application|api_service|desktop_application,.json|.xml|.csv,
NB-004,anonymized_data,Properly Anonymized Dataset,Data with all 18 HIPAA identifiers removed and k-anonymity applied,SAFE,3,Re-identification risk is mathematically bounded. Compliant with HIPAA Safe Harbor.,0.08,medical_system|database_system|financial_system|web_application,.csv|.json|.parquet,
NB-005,anonymized_data,Aggregated Statistical Summary,"Count totals, averages, and percentages — no row-level records",SAFE,2,No individual can be identified from aggregate statistics alone.,0.05,web_application|database_system|financial_system|medical_system,.csv|.json|.pdf|.txt,
NB-006,hashed_data,Properly Salted Password Hash (bcrypt/Argon2),Irreversibly hashed passwords using modern KDF,LOW,8,Hash is computationally infeasible to reverse with proper salt and work factor.,0.1,web_application|mobile_application|database_system|api_service,.sql|.json|.csv,
NB-007,encrypted_payload,AES-256-GCM Encrypted Bundle,Properly encrypted data with authenticated encryption,SAFE,0,Ciphertext reveals no plaintext without key. GCM provides integrity assurance.,0.03,air_gapped_network|government_classified|financial_system|cloud_infrastructure,.enc|.bin,
NB-008,operational_logs,Application Performance Metric Log (No PII),CPU/memory/response time metrics without user identifiers,SAFE,2,"System telemetry with no user data, no IP addresses, no session tokens.",0.04,web_application|api_service|cloud_infrastructure|desktop_application,.log|.json|.csv|.txt,
NB-009,operational_logs,Sanitized Error Log,Application error logs with PII/credentials stripped,SAFE,1,"Post-sanitization: no credentials, no user IDs, no IP addresses remain.",0.03,web_application|api_service|desktop_application|database_system,.log|.txt,
NB-010,test_synthetic_data,Synthetic Test Dataset,Programmatically generated fake PII for testing — no real individuals,SAFE,0,Fabricated data. No real individuals. No linkage to real records.,0.03,web_application|mobile_application|database_system|api_service|medical_system,.csv|.json|.xml|.sql,
NB-011,configuration_safe,Non-Sensitive Application Config (No Secrets),"Config files with only feature flags, timeout values, UI settings",SAFE,2,"No credentials, no IP addresses, no internal paths. Pure behavioral config.",0.04,web_application|mobile_application|desktop_application|api_service,.json|.yml|.ini|.toml,
NB-012,public_key_infrastructure,Public Certificate (.crt / .pub),Public half of a key pair — intended to be distributed,SAFE,0,Public keys are designed to be shared. No cryptographic secret is revealed.,0.02,web_application|api_service|cloud_infrastructure|government_classified,.crt|.pub|.pem (public),
NB-013,documentation,Public Technical Documentation / README,"Open-source project docs, API usage guides with no secrets",SAFE,0,Intended for public consumption. No proprietary or personal content.,0.02,web_application|desktop_application|api_service,.md|.txt|.html|.pdf,
NB-014,redacted_document,Properly Redacted Classified Document,Document with classified sections fully blacked out per NSA/NIST standards,LOW,5,"Classified content is irrecoverable if redaction is done at binary level, not just visual.",0.06,government_classified|air_gapped_network,.pdf|.docx,
NB-015,tokenized_data,Tokenized Payment Data (PCI DSS Compliant),Card PANs replaced with non-reversible tokens by a certified vault,SAFE,1,Token has no mathematical relationship to original PAN. Vault is isolated.,0.04,financial_system|web_application|mobile_application,.csv|.json|.xml,
