id,category,label,description,threat_level,risk_score,sanitize_action,learning_weight,applicable_apps,file_types_at_risk,regex_patterns,indicators,example_breach_vector
BD-001,personally_identifiable_information,Full Legal Name,"First, middle, last name of a real individual",HIGH,72,redact,0.82,web_application|mobile_application|database_system|medical_system|financial_system|government_classified,.csv|.json|.xml|.txt|.pdf|.docx|.xlsx,[A-Z][a-z]+ [A-Z][a-z]+|\bName\s*:\s*\S+,PII|GDPR_VIOLATION|HIPAA_VIOLATION,"Database dump, form export, employee roster leak"
BD-002,personally_identifiable_information,Social Security Number (SSN),9-digit US government identifier,CRITICAL,97,quarantine,0.99,database_system|financial_system|government_classified|medical_system,.csv|.txt|.pdf|.docx|.json|.xlsx|.xml,\b\d{3}-\d{2}-\d{4}\b|\b\d{9}\b,CRITICAL_PII|IDENTITY_THEFT_RISK|FEDERAL_VIOLATION,"Tax records export, HR database dump, insurance claim files"
BD-003,personally_identifiable_information,Date of Birth,Full or partial birth date,HIGH,68,redact,0.78,web_application|mobile_application|medical_system|financial_system|government_classified,.csv|.json|.xml|.txt|.pdf,"\b\d{1,2}/\d{1,2}/\d{2,4}\b|DOB\s*:\s*|Date of Birth",PII|AGE_DISCLOSURE|GDPR_VIOLATION,"Patient records, account creation logs, voter registration files"
BD-004,personally_identifiable_information,Home Address,"Physical street address including city, state, zip",HIGH,75,redact,0.8,web_application|mobile_application|database_system|financial_system,.csv|.json|.txt|.pdf|.docx,"\d{1,5}\s[A-Za-z]+\s(?:St|Ave|Blvd|Rd|Dr|Ln)|\b[A-Z]{2}\s\d{5}\b",PII|LOCATION_DISCLOSURE|STALKING_RISK,"E-commerce order export, mailing list leak, delivery manifests"
BD-005,personally_identifiable_information,Email Address,Personal or work email address,MEDIUM,55,redact,0.65,web_application|mobile_application|api_service|database_system,.csv|.json|.txt|.xml|.html|.eml,"[a-zA-Z0-9._%+\-]+@[a-zA-Z0-9.\-]+\.[a-zA-Z]{2,}",PII|PHISHING_VECTOR|SPAM_LIST,"Marketing list dump, CRM export, newsletter subscriber leak"
BD-006,personally_identifiable_information,Phone Number,Mobile or landline phone number,MEDIUM,52,redact,0.62,web_application|mobile_application|database_system|financial_system,.csv|.json|.txt|.pdf,\b\(?\d{3}\)?[-.\s]?\d{3}[-.\s]?\d{4}\b|\+1\s?\d{10},PII|PHONE_DISCLOSURE|SIM_SWAP_RISK,"Contact book export, SMS campaign lists, support ticket logs"
BD-007,authentication_credentials,Plaintext Password,Unencrypted user password stored or transmitted in clear,CRITICAL,100,quarantine,1.0,web_application|mobile_application|api_service|desktop_application|database_system,.py|.js|.env|.conf|.ini|.txt|.sh|.bat|.yml|.yaml|.json,"password\s*=\s*['""][^'""]+['""]|pwd\s*:\s*\S+|pass\s*=\s*\S+",CRITICAL_CREDENTIAL|HARDCODED_SECRET|AUTH_BYPASS_RISK,"Source code commit, config file leak, log file containing debug output"
BD-008,authentication_credentials,API Key / Secret Token,"Bearer tokens, API keys, secret keys for service authentication",CRITICAL,98,quarantine,0.99,web_application|api_service|cloud_infrastructure|desktop_application,.env|.json|.py|.js|.yml|.yaml|.txt|.conf,"api[_-]?key\s*=\s*['""][A-Za-z0-9+/=]{20,}['""]|sk-[A-Za-z0-9]{48}|AKIA[0-9A-Z]{16}",CRITICAL_CREDENTIAL|API_KEY_EXPOSURE|LATERAL_MOVEMENT_RISK,"GitHub repo push, environment variable dump, Docker image layer"
BD-009,authentication_credentials,Private Cryptographic Key,RSA/EC/PGP private keys in PEM or DER format,CRITICAL,100,quarantine,1.0,web_application|api_service|cloud_infrastructure|government_classified|financial_system,.pem|.key|.p12|.pfx|.asc|.txt,-----BEGIN (RSA |EC |OPENSSH |PGP )?PRIVATE KEY-----|-----BEGIN CERTIFICATE-----,CRITICAL_CRYPTOGRAPHIC|PKI_COMPROMISE|IMPERSONATION_RISK,"Misconfigured web server, backup archive leak, container image"
BD-010,authentication_credentials,Session Token / Cookie,Active session identifiers that allow account hijacking,CRITICAL,95,quarantine,0.97,web_application|mobile_application|api_service,.log|.txt|.har|.json,sessionid=[A-Za-z0-9]+|JSESSIONID=[A-Za-z0-9]+|auth_token=[A-Za-z0-9._-]+,CRITICAL_CREDENTIAL|SESSION_HIJACK_RISK|REPLAY_ATTACK,"HTTP log export, browser debug export (.har), proxy log leak"
